"filename", "language", "JavaScript", "JSON", "JSON with Comments", "CSS", "Markdown", "HTML", "TypeScript", "TypeScript JSX", "XML", "comment", "blank", "total"
"h:\5.Projects\CoreNex UI\client\src\components\mode-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 5, 39
"h:\5.Projects\CoreNex UI\client\src\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 1, 14, 70
"h:\5.Projects\CoreNex UI\client\src\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 7, 60
"h:\5.Projects\CoreNex UI\client\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 6, 58
"h:\5.Projects\CoreNex UI\client\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 5, 65
"h:\5.Projects\CoreNex UI\client\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 18, 204
"h:\5.Projects\CoreNex UI\client\src\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 8, 70
"h:\5.Projects\CoreNex UI\client\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"h:\5.Projects\CoreNex UI\client\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"h:\5.Projects\CoreNex UI\client\src\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 119, 0, 2, 12, 133
"h:\5.Projects\CoreNex UI\client\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 8, 30
"h:\5.Projects\CoreNex UI\client\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 15, 139
"h:\5.Projects\CoreNex UI\client\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"h:\5.Projects\CoreNex UI\client\src\index.css", "CSS", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 22, 79
"h:\5.Projects\CoreNex UI\client\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"h:\5.Projects\CoreNex UI\client\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 2, 2, 24
"h:\5.Projects\CoreNex UI\client\src\middlewares\EventSeed.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
"h:\5.Projects\CoreNex UI\client\src\middlewares\RandomQuoteGenerator.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"h:\5.Projects\CoreNex UI\client\src\middlewares\Seeder.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 1, 1, 29
"h:\5.Projects\CoreNex UI\client\src\output.css", "CSS", 0, 0, 0, 6293, 0, 0, 0, 0, 0, 166, 1556, 8015
"h:\5.Projects\CoreNex UI\client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"h:\5.Projects\CoreNex UI\client\tailwind.config.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 17, 1, 140
"h:\5.Projects\CoreNex UI\client\tsconfig.json", "JSON with Comments", 0, 0, 10, 0, 0, 0, 0, 0, 0, 18, 0, 28
"h:\5.Projects\CoreNex UI\client\tsconfig.node.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"h:\5.Projects\CoreNex UI\client\vercel.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"h:\5.Projects\CoreNex UI\client\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"h:\5.Projects\CoreNex UI\client\webpack.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 13
"h:\5.Projects\CoreNex UI\server\db\connection.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"h:\5.Projects\CoreNex UI\server\index.js", "JavaScript", 1798, 0, 0, 0, 0, 0, 0, 0, 0, 262, 255, 2315
"h:\5.Projects\CoreNex UI\server\models\CssElementSchema.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"h:\5.Projects\CoreNex UI\server\models\EventsSchema.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"h:\5.Projects\CoreNex UI\server\models\TableSchema.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"h:\5.Projects\CoreNex UI\server\models\csschallengesSchema.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 129
"h:\5.Projects\CoreNex UI\server\models\noteAndFolderSchemas.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"h:\5.Projects\CoreNex UI\server\models\notesUploadSchema.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"h:\5.Projects\CoreNex UI\server\models\userSchema.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 72
"h:\5.Projects\CoreNex UI\server\package-lock.json", "JSON", 0, 2684, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2685
"h:\5.Projects\CoreNex UI\server\package.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"h:\5.Projects\CoreNex UI\server\template.html", "HTML", 0, 0, 0, 0, 0, 276, 0, 0, 0, 61, 89, 426
"Total", "-", 2232, 17412, 10, 6646, 22, 290, 108, 10769, 70, 1317, 2967, 41843
